TLD,WHOIS,TYPE,NATIVE,MANAGER
mma,whois.nic.mma,generic,mma,MMA IARD
mn,whois.nic.mn,country-code,mn,"Datacom Co., Ltd."
mo,whois.monic.mo,country-code,mo,Macao Post and Telecommunications Bureau (CTT)
mobi,whois.afilias.net,generic,mobi,Afilias Technologies Limited dba dotMobi
mobile,whois.nic.mobile,generic,mobile,Dish DBS Corporation
mobily,whois.nic.mobily,generic,mobily,GreenTech Consultancy Company W.L.L.
moda,whois.donuts.co,generic,moda,United TLD Holdco Ltd.
moe,whois.nic.moe,generic,moe,"Interlink Co., Ltd."
moi,whois.nic.moi,generic,moi,"Amazon Registry Services, Inc."
mom,whois.nic.mom,generic,mom,"Uniregistry, Corp."
monash,whois.nic.monash,generic,monash,Monash University
money,whois.donuts.co,generic,money,"Binky Moon, LLC"
monster,whois.nic.monster,generic,monster,"Monster Worldwide, Inc."
montblanc,,generic,montblanc,Not assigned
mopar,whois.nic.mopar,generic,mopar,FCA US LLC.
mormon,whois.nic.mormon,generic,mormon,"IRI Domain Management, LLC (""Applicant"")"
mortgage,whois.donuts.co,generic,mortgage,"United TLD Holdco, Ltd"
moscow,whois.nic.moscow,generic,moscow,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID)
moto,www.nic.moto,generic,moto,"Motorola Trademark Holdings, LLC"
motorcycles,whois.nic.motorcycles,generic,motorcycles,"DERMotorcycles, LLC"
mov,whois.nic.mov,generic,mov,Charleston Road Registry Inc.
movie,whois.donuts.co,generic,movie,"Binky Moon, LLC"
movistar,whois.nic.movistar,generic,movistar,Telefónica S.A.
mp,whois.nic.mp,country-code,mp,"Saipan Datacom, Inc."
mq,whois.mediaserv.net,country-code,mq,MEDIASERV
mr,whois.nic.mr,country-code,mr,Université de Nouakchott Al Aasriya
ms,whois.nic.ms,country-code,ms,MNI Networks Ltd.
msd,whois.nic.msd,generic,msd,"MSD Registry Holdings, Inc."
mt,,country-code,mt,NIC (Malta)
mtn,whois.nic.mtn,generic,mtn,MTN Dubai Limited
mtpc,,generic,mtpc,Retired
mtr,whois.nic.mtr,generic,mtr,MTR Corporation Limited
mu,whois.nic.mu,country-code,mu,Internet Direct Ltd
museum,www.whois.museum,sponsored,museum,Museum Domain Management Association
mutual,whois.nic.mutual,generic,mutual,"Northwestern Mutual MU TLD Registry, LLC"
mutuelle,,generic,mutuelle,Retired
mv,,country-code,mv,Dhiraagu Pvt. Ltd. (DHIVEHINET)
mw,,country-code,mw,Malawi Sustainable Development Network Programme (Malawi SDNP)
mx,whois.mx,country-code,mx,NIC-Mexico ITESM - Campus Monterrey
my,whois.mynic.my,country-code,my,MYNIC Berhad
mz,whois.nic.mz,country-code,mz,Centro de Informatica de Universidade Eduardo Mondlane
na,whois.na-nic.com.na,country-code,na,Namibian Network Information Center
nab,whois.nic.nab,generic,nab,National Australia Bank Limited
nadex,whois.nic.nadex,generic,nadex,"Nadex Domains, Inc"
nagoya,whois.nic.nagoya,generic,nagoya,"GMO Registry, Inc."
name,whois.nic.name,generic-restricted,name,"VeriSign Information Services, Inc."
nationwide,whois.nic.nationwide,generic,nationwide,Nationwide Mutual Insurance Company
natura,whois.nic.natura,generic,natura,NATURA COSMÉTICOS S.A.
navy,whois.donuts.co,generic,navy,United TLD Holdco Ltd.
nba,whois.nic.nba,generic,nba,"NBA REGISTRY, LLC"
nc,whois.nc,country-code,nc,Office des Postes et Telecommunications
ne,,country-code,ne,SONITEL
nec,whois.nic.nec,generic,nec,NEC Corporation
net,whois.verisign-grs.com,generic,net,VeriSign Global Registry Services
netbank,whois.nic.netbank,generic,netbank,COMMONWEALTH BANK OF AUSTRALIA
netflix,whois.nic.netflix,generic,netflix,"Netflix, Inc."
network,whois.donuts.co,generic,network,"Binky Moon, LLC"
neustar,whois.nic.neustar,generic,neustar,"NeuStar, Inc."
new,whois.nic.new,generic,new,Charleston Road Registry Inc.
newholland,whois.nic.newholland,generic,newholland,CNH Industrial N.V.
news,whois.donuts.co,generic,news,United TLD Holdco Ltd.
next,whois.nic.next,generic,next,Next plc
nextdirect,whois.nic.nextdirect,generic,nextdirect,Next plc
nexus,whois.nic.nexus,generic,nexus,Charleston Road Registry Inc.
nf,whois.nic.nf,country-code,nf,Norfolk Island Data Services
nfl,whois.nic.nfl,generic,nfl,NFL Reg Ops LLC
ng,whois.nic.net.ng,country-code,ng,Nigeria Internet Registration Association
ngo,whois.nic.ngo,generic,ngo,Public Interest Registry
nhk,whois.nic.nhk,generic,nhk,Japan Broadcasting Corporation (NHK)
ni,,country-code,ni,Universidad Nacional del Ingernieria Centro de Computo
nico,whois.nic.nico,generic,nico,"DWANGO Co., Ltd."
nike,whois.nic.nike,generic,nike,"NIKE, Inc."
nikon,whois.nic.nikon,generic,nikon,NIKON CORPORATION
ninja,whois.donuts.co,generic,ninja,United TLD Holdco Ltd.
nissan,whois.nic.nissan,generic,nissan,"NISSAN MOTOR CO., LTD."
nissay,whois.nic.nissay,generic,nissay,Nippon Life Insurance Company
nl,whois.domain-registry.nl,country-code,nl,SIDN (Stichting Internet Domeinregistratie Nederland)
no,whois.norid.no,country-code,no,UNINETT Norid A/S
nokia,whois.nic.nokia,generic,nokia,Nokia Corporation
northwesternmutual,whois.nic.northwesternmutual,generic,northwesternmutual,"Northwestern Mutual Registry, LLC"
norton,whois.nic.norton,generic,norton,Symantec Corporation
now,whois.nic.now,generic,now,"Amazon Registry Services, Inc."
nowruz,whois.nic.nowruz,generic,nowruz,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
nowtv,whois.nic.nowtv,generic,nowtv,Starbucks (HK) Limited
np,,country-code,np,Mercantile Communications Pvt. Ltd.
nr,,country-code,nr,CENPAC NET
nra,whois.nic.nra,generic,nra,"NRA Holdings Company, INC."
nrw,whois.nic.nrw,generic,nrw,Minds + Machines GmbH
ntt,whois.nic.ntt,generic,ntt,NIPPON TELEGRAPH AND TELEPHONE CORPORATION
nu,whois.iis.nu,country-code,nu,The IUSN Foundation
nyc,whois.nic.nyc,generic,nyc,The City of New York by and through the New York City Department of Information Technology & Telecommunications
nz,whois.srs.net.nz,country-code,nz,InternetNZ
obi,whois.nic.obi,generic,obi,OBI Group Holding SE & Co. KGaA
observer,whois.nic.observer,generic,observer,"Top Level Spectrum, Inc."
off,whois.nic.off,generic,off,"Johnson Shareholdings, Inc."
office,whois.nic.office,generic,office,Microsoft Corporation
okinawa,whois.nic.okinawa,generic,okinawa,"BRregistry, Inc."
olayan,whois.nic.olayan,generic,olayan,Crescent Holding GmbH
olayangroup,whois.nic.olayangroup,generic,olayangroup,Crescent Holding GmbH
oldnavy,whois.nic.oldnavy,generic,oldnavy,"The Gap, Inc."
ollo,whois.nic.ollo,generic,ollo,Dish DBS Corporation
om,whois.registry.om,country-code,om,Telecommunications Regulatory Authority (TRA)
omega,whois.nic.omega,generic,omega,The Swatch Group Ltd
one,whois.nic.one,generic,one,One.com A/S
ong,whois.nic.ong,generic,ong,Public Interest Registry
onl,whois.nic.onl,generic,onl,"I-REGISTRY Ltd., Niederlassung Deutschland"
online,whois.nic.online,generic,online,DotOnline Inc.
onyourside,whois.nic.onyourside,generic,onyourside,Nationwide Mutual Insurance Company
ooo,whois.nic.ooo,generic,ooo,INFIBEAM INCORPORATION LIMITED
open,whois.nic.open,generic,open,"American Express Travel Related Services Company, Inc."
oracle,whois.nic.oracle,generic,oracle,Oracle Corporation
orange,whois.nic.orange,generic,orange,Orange Brand Services Limited
org,whois.pir.org,generic,org,Public Interest Registry (PIR)
organic,whois.nic.organic,generic,organic,Afilias plc
orientexpress,,generic,orientexpress,Retired
origins,whois.nic.origins,generic,origins,The Estée Lauder Companies Inc.
osaka,whois.nic.osaka,generic,osaka,"Osaka Registry Co., Ltd."
otsuka,whois.nic.otsuka,generic,otsuka,"Otsuka Holdings Co., Ltd."
ott,whois.nic.ott,generic,ott,Dish DBS Corporation
ovh,whois.nic.ovh,generic,ovh,OVH SAS
pa,,country-code,pa,Universidad Tecnologica de Panama
page,whois.nic.page,generic,page,Charleston Road Registry Inc.
pamperedchef,,generic,pamperedchef,Not assigned
panasonic,whois.nic.panasonic,generic,panasonic,Panasonic Corporation
panerai,whois.nic.panerai,generic,panerai,Richemont DNS Inc.
paris,whois.nic.paris,generic,paris,City of Paris
pars,whois.nic.pars,generic,pars,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
partners,whois.donuts.co,generic,partners,"Binky Moon, LLC"
parts,whois.donuts.co,generic,parts,"Binky Moon, LLC"
party,whois.nic.party,generic,party,Blue Sky Registry Limited
passagens,whois.nic.passagens,generic,passagens,Travel Reservations SRL
pay,whois.nic.pay,generic,pay,"Amazon Registry Services, Inc."
pccw,whois.nic.pccw,generic,pccw,PCCW Enterprises Limited
pe,kero.yachay.pe,country-code,pe,Red Cientifica Peruana
pet,whois.nic.pet,generic,pet,Afilias plc
pf,whois.registry.pf,country-code,pf,Gouvernement de la Polynésie française
pfizer,whois.nic.pfizer,generic,pfizer,Pfizer Inc.
pg,,country-code,pg,PNG DNS Administration Vice Chancellors Office The Papua New Guinea University of Technology
ph,,country-code,ph,PH Domain Foundation
pharmacy,whois.nic.pharmacy,generic,pharmacy,National Association of Boards of Pharmacy
phd,whois.nic.phd,generic,phd,Charleston Road Registry Inc.
philips,whois.nic.philips,generic,philips,Koninklijke Philips N.V.
phone,whois.nic.phone,generic,phone,Dish DBS Corporation
photo,whois.nic.photo,generic,photo,"Uniregistry, Corp."
photography,whois.donuts.co,generic,photography,"Binky Moon, LLC"
photos,whois.donuts.co,generic,photos,"Binky Moon, LLC"
physio,whois.nic.physio,generic,physio,PhysBiz Pty Ltd
piaget,whois.nic.piaget,generic,piaget,Richemont DNS Inc.
pics,whois.nic.pics,generic,pics,"Uniregistry, Corp."
pictet,whois.nic.pictet,generic,pictet,Pictet Europe S.A.
pictures,whois.donuts.co,generic,pictures,"Binky Moon, LLC"
pid,whois.nic.pid,generic,pid,"Top Level Spectrum, Inc."
pin,whois.nic.pin,generic,pin,"Amazon Registry Services, Inc."
ping,whois.nic.ping,generic,ping,"Ping Registry Provider, Inc."
pink,whois.nic.pink,generic,pink,Afilias plc
pioneer,whois.nic.pioneer,generic,pioneer,Pioneer Corporation
pizza,whois.donuts.co,generic,pizza,"Binky Moon, LLC"
pk,,country-code,pk,PKNIC
pl,whois.dns.pl,country-code,pl,Research and Academic Computer Network
place,whois.donuts.co,generic,place,"Binky Moon, LLC"
play,whois.nic.play,generic,play,Charleston Road Registry Inc.
playstation,whois.nic.playstation,generic,playstation,Sony Computer Entertainment Inc.
plumbing,whois.donuts.co,generic,plumbing,"Binky Moon, LLC"
plus,whois.donuts.co,generic,plus,"Binky Moon, LLC"
pm,whois.nic.pm,country-code,pm,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
pn,,country-code,pn,Pitcairn Island Administration
pnc,whois.nic.pnc,generic,pnc,"PNC Domain Co., LLC"
pohl,whois.nic.pohl,generic,pohl,Deutsche Vermögensberatung Aktiengesellschaft DVAG
poker,whois.nic.poker,generic,poker,Afilias plc
politie,whois.nic.politie,generic,politie,Politie Nederland
porn,whois.nic.porn,generic,porn,ICM Registry PN LLC
post,whois.dotpostregistry.net,sponsored,post,Universal Postal Union
pr,whois.afilias-srs.net,country-code,pr,Gauss Research Laboratory Inc.
pramerica,whois.nic.pramerica,generic,pramerica,"Prudential Financial, Inc."
praxi,whois.nic.praxi,generic,praxi,Praxi S.p.A.
press,whois.nic.press,generic,press,DotPress Inc.
prime,whois.nic.prime,generic,prime,"Amazon Registry Services, Inc."
pro,whois.afilias.net,generic-restricted,pro,Registry Services Corporation dba RegistryPro
prod,whois.nic.prod,generic,prod,Charleston Road Registry Inc.
productions,whois.donuts.co,generic,productions,"Binky Moon, LLC"
prof,whois.nic.prof,generic,prof,Charleston Road Registry Inc.
progressive,whois.nic.progressive,generic,progressive,Progressive Casualty Insurance Company
promo,whois.nic.promo,generic,promo,Afilias plc
properties,whois.donuts.co,generic,properties,"Binky Moon, LLC"
property,whois.nic.property,generic,property,"Uniregistry, Corp."
protection,whois.nic.protection,generic,protection,XYZ.COM LLC
pru,whois.nic.pru,generic,pru,"Prudential Financial, Inc."
prudential,whois.nic.prudential,generic,prudential,"Prudential Financial, Inc."
ps,,country-code,ps,"Ministry Of Telecommunications & Information Technology, Government Computer Center."
pt,whois.dns.pt,country-code,pt,Associação DNS.PT
pub,whois.donuts.co,generic,pub,United TLD Holdco Ltd.
pw,whois.nic.pw,country-code,pw,Micronesia Investment and Development Corporation
pwc,whois.nic.pwc,generic,pwc,PricewaterhouseCoopers LLP
py,,country-code,py,NIC-PY
qa,whois.registry.qa,country-code,qa,Communications Regulatory Authority
qpon,whois.nic.qpon,generic,qpon,"dotCOOL, Inc."
quebec,whois.nic.quebec,generic,quebec,PointQuébec Inc
quest,whois.nic.quest,generic,quest,Quest ION Limited
qvc,whois.nic.qvc,generic,qvc,"QVC, Inc."
racing,whois.nic.racing,generic,racing,Premier Registry Limited
radio,whois.nic.radio,generic,radio,European Broadcasting Union (EBU)
raid,whois.nic.raid,generic,raid,"Johnson Shareholdings, Inc."
re,whois.nic.re,country-code,re,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
read,whois.nic.read,generic,read,"Amazon Registry Services, Inc."
realestate,whois.nic.realestate,generic,realestate,dotRealEstate LLC
realtor,whois.nic.realtor,generic,realtor,Real Estate Domains LLC
realty,whois.nic.realty,generic,realty,"Fegistry, LLC"
recipes,whois.donuts.co,generic,recipes,"Binky Moon, LLC"
red,whois.nic.red,generic,red,Afilias plc
redstone,whois.nic.redstone,generic,redstone,"Redstone Haute Couture Co., Ltd."
redumbrella,whois.nic.redumbrella,generic,redumbrella,"Travelers TLD, LLC"
rehab,whois.donuts.co,generic,rehab,United TLD Holdco Ltd.
reise,whois.donuts.co,generic,reise,"Binky Moon, LLC"
reisen,whois.donuts.co,generic,reisen,"Binky Moon, LLC"
reit,whois.nic.reit,generic,reit,"National Association of Real Estate Investment Trusts, Inc."
reliance,whois.nic.reliance,generic,reliance,Reliance Industries Limited
ren,whois.nic.ren,generic,ren,"Beijing Qianxiang Wangjing Technology Development Co., Ltd."
rent,whois.nic.rent,generic,rent,XYZ.COM LLC
rentals,whois.donuts.co,generic,rentals,"Binky Moon, LLC"
repair,whois.donuts.co,generic,repair,"Binky Moon, LLC"
report,whois.donuts.co,generic,report,"Binky Moon, LLC"
republican,whois.donuts.co,generic,republican,United TLD Holdco Ltd.
rest,whois.nic.rest,generic,rest,Punto 2012 Sociedad Anonima Promotora de Inversion de Capital Variable
restaurant,whois.donuts.co,generic,restaurant,"Binky Moon, LLC"
review,whois.nic.review,generic,review,dot Review Limited
reviews,whois.donuts.co,generic,reviews,"United TLD Holdco, Ltd."
rexroth,whois.nic.rexroth,generic,rexroth,Robert Bosch GMBH
rich,whois.nic.rich,generic,rich,"I-REGISTRY Ltd., Niederlassung Deutschland"
richardli,whois.nic.richardli,generic,richardli,Pacific Century Asset Management (HK) Limited
ricoh,whois.nic.ricoh,generic,ricoh,"Ricoh Company, Ltd."
rightathome,whois.nic.rightathome,generic,rightathome,"Johnson Shareholdings, Inc."
ril,whois.nic.ril,generic,ril,Reliance Industries Limited
rio,whois.nic.rio,generic,rio,Empresa Municipal de Informática SA - IPLANRIO
rip,whois.donuts.co,generic,rip,United TLD Holdco Ltd.
rmit,whois.nic.rmit,generic,rmit,Royal Melbourne Institute of Technology
ro,whois.rotld.ro,country-code,ro,National Institute for R&D in Informatics
rocher,whois.nic.rocher,generic,rocher,Ferrero Trading Lux S.A.
rocks,whois.donuts.co,generic,rocks,"United TLD Holdco, LTD."
rodeo,whois.nic.rodeo,generic,rodeo,Top Level Domain Holdings Limited
rogers,whois.nic.rogers,generic,rogers,Rogers Communications Canada Inc.
room,whois.nic.room,generic,room,"Amazon Registry Services, Inc."
rs,whois.rnids.rs,country-code,rs,Serbian National Internet Domain Registry (RNIDS)
rsvp,whois.nic.rsvp,generic,rsvp,Charleston Road Registry Inc.
ru,whois.tcinet.ru,country-code,ru,Coordination Center for TLD RU
rugby,whois.centralnic.com,generic,rugby,World Rugby Strategic Developments Limited
ruhr,whois.nic.ruhr,generic,ruhr,regiodot GmbH & Co. KG
run,whois.donuts.co,generic,run,"Binky Moon, LLC"
rw,,country-code,rw,Rwanda Information Communication and Technology Association (RICTA)
rwe,whois.nic.rwe,generic,rwe,RWE AG
ryukyu,whois.nic.ryukyu,generic,ryukyu,"BRregistry, Inc."
sa,whois.nic.net.sa,country-code,sa,Communications and Information Technology Commission
saarland,whois.nic.saarland,generic,saarland,dotSaarland GmbH
safe,whois.nic.safe,generic,safe,"Amazon Registry Services, Inc."
safety,whois.nic.safety,generic,safety,"Safety Registry Services, LLC."
sakura,whois.nic.sakura,generic,sakura,SAKURA Internet Inc.
sale,whois.donuts.co,generic,sale,"United TLD Holdco, Ltd"
salon,whois.donuts.co,generic,salon,"Binky Moon, LLC"
samsclub,whois.nic.samsclub,generic,samsclub,"Wal-Mart Stores, Inc."
samsung,whois.nic.samsung,generic,samsung,"SAMSUNG SDS CO., LTD"
sandvik,whois.nic.sandvik,generic,sandvik,Sandvik AB
sandvikcoromant,whois.nic.sandvikcoromant,generic,sandvikcoromant,Sandvik AB
sanofi,whois.nic.sanofi,generic,sanofi,Sanofi
sap,whois.nic.sap,generic,sap,SAP AG
sapo,whois.nic.sapo,generic,sapo,"MEO Serviços de Comunicações e Multimédia, S.A."
sarl,whois.donuts.co,generic,sarl,"Binky Moon, LLC"
sas,whois.nic.sas,generic,sas,Research IP LLC
save,whois.nic.save,generic,save,"Amazon Registry Services, Inc."
saxo,whois.nic.saxo,generic,saxo,Saxo Bank A/S
sb,whois.nic.net.sb,country-code,sb,Solomon Telekom Company Limited
sbi,whois.nic.sbi,generic,sbi,STATE BANK OF INDIA
sbs,whois.nic.sbs,generic,sbs,SPECIAL BROADCASTING SERVICE CORPORATION
sc,whois2.afilias-grs.net,country-code,sc,VCS Pty Ltd
sca,whois.nic.sca,generic,sca,SVENSKA CELLULOSA AKTIEBOLAGET SCA (publ)
scb,whois.nic.scb,generic,scb,"The Siam Commercial Bank Public Company Limited (""SCB"")"
schaeffler,whois.nic.schaeffler,generic,schaeffler,Schaeffler Technologies AG & Co. KG
schmidt,whois.nic.schmidt,generic,schmidt,SALM S.A.S.
scholarships,whois.nic.scholarships,generic,scholarships,"Scholarships.com, LLC"
school,whois.donuts.co,generic,school,"Binky Moon, LLC"
schule,whois.donuts.co,generic,schule,"Binky Moon, LLC"
schwarz,whois.nic.schwarz,generic,schwarz,Schwarz Domains und Services GmbH & Co. KG
science,whois.nic.science,generic,science,dot Science Limited
scjohnson,whois.nic.scjohnson,generic,scjohnson,"Johnson Shareholdings, Inc."
scor,whois.nic.scor,generic,scor,SCOR SE
scot,whois.nic.scot,generic,scot,Dot Scot Registry Limited
sd,,country-code,sd,Sudan Internet Society
se,whois.iis.se,country-code,se,The Internet Infrastructure Foundation
search,whois.nic.search,generic,search,Charleston Road Registry Inc.
seat,whois.nic.seat,generic,seat,"SEAT, S.A. (Sociedad Unipersonal)"
secure,whois.nic.secure,generic,secure,"Amazon Registry Services, Inc."
security,whois.nic.security,generic,security,XYZ.COM LLC
seek,whois.nic.seek,generic,seek,Seek Limited
select,whois.nic.select,generic,select,iSelect Ltd
sener,whois.nic.sener,generic,sener,"Sener Ingeniería y Sistemas, S.A."
services,whois.donuts.co,generic,services,"Binky Moon, LLC"
ses,whois.nic.ses,generic,ses,SES
seven,whois.nic.seven,generic,seven,Seven West Media Ltd
sew,whois.nic.sew,generic,sew,SEW-EURODRIVE GmbH & Co KG
sex,whois.nic.sex,generic,sex,ICM Registry SX LLC
sexy,whois.nic.sexy,generic,sexy,"Uniregistry, Corp."
sfr,whois.nic.sfr,generic,sfr,Societe Francaise du Radiotelephone - SFR
sg,whois.sgnic.sg,country-code,sg,Singapore Network Information Centre (SGNIC) Pte Ltd
sh,whois.nic.sh,country-code,sh,Government of St. Helena
shangrila,whois.nic.shangrila,generic,shangrila,Shangri‐La International Hotel Management Limited
sharp,whois.nic.sharp,generic,sharp,Sharp Corporation
shaw,whois.nic.shaw,generic,shaw,Shaw Cablesystems G.P.
shell,whois.nic.shell,generic,shell,Shell Information Technology International Inc
shia,whois.nic.shia,generic,shia,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
shiksha,whois.nic.shiksha,generic,shiksha,Afilias plc
shoes,whois.donuts.co,generic,shoes,"Binky Moon, LLC"
shop,whois.nic.shop,generic,shop,"GMO Registry, Inc."
shopping,whois.donuts.co,generic,shopping,"Binky Moon, LLC"
shouji,whois.nic.shouji,generic,shouji,QIHOO 360 TECHNOLOGY CO. LTD.
show,whois.donuts.co,generic,show,"Binky Moon, LLC"
showtime,whois.nic.showtime,generic,showtime,CBS Domains Inc.
shriram,whois.nic.shriram,generic,shriram,Shriram Capital Ltd.
si,whois.register.si,country-code,si,Academic and Research Network of Slovenia (ARNES)
silk,whois.nic.silk,generic,silk,"Amazon Registry Services, Inc."
sina,whois.nic.sina,generic,sina,Sina Corporation
singles,whois.donuts.co,generic,singles,"Binky Moon, LLC"
site,whois.nic.site,generic,site,DotSite Inc.
sj,,country-code,sj,UNINETT Norid A/S
sk,whois.sk-nic.sk,country-code,sk,"SK-NIC, a.s."
ski,whois.nic.ski,generic,ski,STARTING DOT LIMITED
skin,whois.nic.skin,generic,skin,L'Oréal
sky,whois.nic.sky,generic,sky,Sky International AG
skype,whois.nic.skype,generic,skype,Microsoft Corporation
sl,,country-code,sl,Sierratel
sling,whois.nic.sling,generic,sling,Hughes Satellite Systems Corporation
sm,whois.nic.sm,country-code,sm,Telecom Italia San Marino S.p.A.
smart,whois.nic.smart,generic,smart,"Smart Communications, Inc. (SMART)"
smile,whois.nic.smile,generic,smile,"Amazon Registry Services, Inc."
sn,whois.nic.sn,country-code,sn,Universite Cheikh Anta Diop NIC Senegal
sncf,whois.nic.sncf,generic,sncf,SNCF (Société Nationale des Chemins de fer Francais)
so,whois.nic.so,country-code,so,Ministry of Post and Telecommunications
soccer,whois.donuts.co,generic,soccer,"Binky Moon, LLC"
social,whois.donuts.co,generic,social,United TLD Holdco Ltd.
softbank,whois.nic.softbank,generic,softbank,SoftBank Group Corp.
software,whois.donuts.co,generic,software,"United TLD Holdco, Ltd"
sohu,whois.nic.sohu,generic,sohu,Sohu.com Limited
solar,whois.donuts.co,generic,solar,"Binky Moon, LLC"
solutions,whois.donuts.co,generic,solutions,"Binky Moon, LLC"
song,whois.nic.song,generic,song,"Amazon Registry Services, Inc."
sony,whois.nic.sony,generic,sony,Sony Corporation
soy,whois.nic.soy,generic,soy,Charleston Road Registry Inc.
space,whois.nic.space,generic,space,DotSpace Inc.
spiegel,whois.nic.spiegel,generic,spiegel,SPIEGEL-Verlag Rudolf Augstein GmbH & Co. KG
sport,whois.nic.sport,generic,sport,Global Association of International Sports Federations (GAISF)
spot,whois.nic.spot,generic,spot,"Amazon Registry Services, Inc."
spreadbetting,whois.nic.spreadbetting,generic,spreadbetting,DOTSPREADBETTING REGISTRY LTD
sr,,country-code,sr,Telesur
srl,whois.nic.srl,generic,srl,InterNetX Corp.
srt,whois.nic.srt,generic,srt,FCA US LLC.
ss,,country-code,ss,Not assigned
st,whois.nic.st,country-code,st,Tecnisys
stada,whois.nic.stada,generic,stada,STADA Arzneimittel AG
staples,whois.nic.staples,generic,staples,"Staples, Inc."
star,whois.nic.star,generic,star,Star India Private Limited
starhub,whois.nic.starhub,generic,starhub,StarHub Limited
statebank,whois.nic.statebank,generic,statebank,STATE BANK OF INDIA
statefarm,whois.nic.statefarm,generic,statefarm,State Farm Mutual Automobile Insurance Company
statoil,whois.nic.statoil,generic,statoil,Statoil ASA
stc,whois.nic.stc,generic,stc,Saudi Telecom Company
stcgroup,whois.nic.stcgroup,generic,stcgroup,Saudi Telecom Company
stockholm,whois.nic.stockholm,generic,stockholm,Stockholms kommun
storage,whois.nic.storage,generic,storage,XYZ.COM LLC
store,whois.nic.store,generic,store,DotStore Inc.
stream,whois.nic.stream,generic,stream,dot Stream Limited
studio,whois.donuts.co,generic,studio,United TLD Holdco Ltd.
study,whois.nic.study,generic,study,OPEN UNIVERSITIES AUSTRALIA PTY LTD
style,whois.donuts.co,generic,style,"Binky Moon, LLC"
su,whois.tcinet.ru,country-code,su,Russian Institute for Development of Public Networks (ROSNIIROS)
sucks,whois.nic.sucks,generic,sucks,Vox Populi Registry Ltd.
supplies,whois.donuts.co,generic,supplies,"Binky Moon, LLC"
supply,whois.donuts.co,generic,supply,"Binky Moon, LLC"
support,whois.donuts.co,generic,support,"Binky Moon, LLC"
surf,whois.nic.surf,generic,surf,Top Level Domain Holdings Limited
surgery,whois.donuts.co,generic,surgery,"Binky Moon, LLC"
suzuki,whois.nic.suzuki,generic,suzuki,SUZUKI MOTOR CORPORATION
sv,,country-code,sv,SVNet
swatch,whois.nic.swatch,generic,swatch,The Swatch Group Ltd
swiftcover,whois.nic.swiftcover,generic,swiftcover,Swiftcover Insurance Services Limited
swiss,whois.nic.swiss,generic,swiss,Swiss Confederation
sx,whois.sx,country-code,sx,SX Registry SA B.V.
sy,whois.tld.sy,country-code,sy,National Agency for Network Services (NANS)
sydney,whois.nic.sydney,generic,sydney,"State of New South Wales, Department of Premier and Cabinet"
symantec,whois.nic.symantec,generic,symantec,Symantec Corporation
systems,whois.donuts.co,generic,systems,"Binky Moon, LLC"
sz,,country-code,sz,University of Swaziland Department of Computer Science
tab,whois.nic.tab,generic,tab,Tabcorp Holdings Limited
taipei,whois.nic.taipei,generic,taipei,Taipei City Government
talk,whois.nic.talk,generic,talk,"Amazon Registry Services, Inc."
taobao,whois.nic.taobao,generic,taobao,Alibaba Group Holding Limited
target,whois.nic.target,generic,target,"Target Domain Holdings, LLC"
tatamotors,whois.nic.tatamotors,generic,tatamotors,Tata Motors Ltd
tatar,whois.nic.tatar,generic,tatar,"Limited Liability Company ""Coordination Center of Regional Domain of Tatarstan Republic"""
tattoo,whois.nic.tattoo,generic,tattoo,"Uniregistry, Corp."
tax,whois.donuts.co,generic,tax,"Binky Moon, LLC"
taxi,whois.donuts.co,generic,taxi,"Binky Moon, LLC"
tc,whois.nic.tc,country-code,tc,Melrex TC
tci,whois.nic.tci,generic,tci,Asia Green IT System Bilgisayar San. ve Tic. Ltd. Sti.
td,41.74.44.44,country-code,td,l'Agence de Développement des Technologies de l'Information et de la Communication (ADETIC)
tdk,whois.nic.tdk,generic,tdk,TDK Corporation
team,whois.donuts.co,generic,team,"Binky Moon, LLC"
tech,whois.nic.tech,generic,tech,Dot Tech LLC
technology,whois.donuts.co,generic,technology,"Binky Moon, LLC"
tel,whois.tel,sponsored,tel,Telnames Ltd.
telecity,whois.nic.telecity,generic,telecity,TelecityGroup International Limited
telefonica,whois.nic.telefonica,generic,telefonica,Telefónica S.A.
temasek,whois.nic.temasek,generic,temasek,Temasek Holdings (Private) Limited
tennis,whois.donuts.co,generic,tennis,"Binky Moon, LLC"
teva,whois.nic.teva,generic,teva,Teva Pharmaceutical Industries Limited
tf,whois.nic.tf,country-code,tf,Association Française pour le Nommage Internet en Coopération (A.F.N.I.C.)
tg,whois.nic.tg,country-code,tg,Autorite de Reglementation des secteurs de Postes et de Telecommunications (ART&P)
th,whois.thnic.co.th,country-code,th,Thai Network Information Center Foundation
thd,whois.nic.thd,generic,thd,"Home Depot Product Authority, LLC"
theater,whois.donuts.co,generic,theater,"Binky Moon, LLC"
theatre,whois.nic.theatre,generic,theatre,XYZ.COM LLC
tiaa,whois.nic.tiaa,generic,tiaa,Teachers Insurance and Annuity Association of America
tickets,whois.nic.tickets,generic,tickets,Accent Media Limited
