TLD,WHOIS,TYPE,NATIVE,MANAGER
ca,whois.cira.ca,country-code,ca,Canadian Internet Registration Authority (CIRA) Autorité Canadienne pour les enregistrements Internet (ACEI)
cab,whois.donuts.co,generic,cab,"Binky Moon, LLC"
cafe,whois.donuts.co,generic,cafe,"Binky Moon, LLC"
cal,whois.nic.cal,generic,cal,Charleston Road Registry Inc.
call,whois.nic.call,generic,call,"Amazon Registry Services, Inc."
calvinklein,whois.nic.calvinklein,generic,calvinklein,PVH gTLD Holdings LLC
cam,whois.nic.cam,generic,cam,AC Webconnecting Holding B.V.
camera,whois.donuts.co,generic,camera,"Binky Moon, LLC"
camp,whois.donuts.co,generic,camp,"Binky Moon, LLC"
cancerresearch,whois.nic.cancerresearch,generic,cancerresearch,Australian Cancer Research Foundation
canon,whois.nic.canon,generic,canon,Canon Inc.
capetown,whois.nic.capetown,generic,capetown,ZA Central Registry NPC trading as ZA Central Registry
capital,whois.donuts.co,generic,capital,"Binky Moon, LLC"
capitalone,whois.nic.capitalone,generic,capitalone,Capital One Financial Corporation
car,whois.nic.car,generic,car,Cars Registry Limited
caravan,whois.nic.caravan,generic,caravan,"Caravan International, Inc."
cards,whois.donuts.co,generic,cards,"Binky Moon, LLC"
care,whois.donuts.co,generic,care,"Binky Moon, LLC"
career,whois.nic.career,generic,career,dotCareer LLC
careers,whois.donuts.co,generic,careers,"Binky Moon, LLC"
cars,whois.nic.cars,generic,cars,Cars Registry Limited
cartier,whois.nic.cartier,generic,cartier,Richemont DNS Inc.
casa,whois.nic.casa,generic,casa,Top Level Domain Holdings Limited
case,whois.nic.case,generic,case,CNH Industrial N.V.
caseih,whois.nic.caseih,generic,caseih,CNH Industrial N.V.
cash,whois.donuts.co,generic,cash,"Binky Moon, LLC"
casino,whois.donuts.co,generic,casino,"Binky Moon, LLC"
cat,whois.nic.cat,sponsored,cat,Fundacio puntCAT
catering,whois.donuts.co,generic,catering,"Binky Moon, LLC"
catholic,whois.nic.catholic,generic,catholic,Pontificium Consilium de Comunicationibus Socialibus (PCCS) (Pontifical Council for Social Communication)
cba,whois.nic.cba,generic,cba,COMMONWEALTH BANK OF AUSTRALIA
cbn,whois.nic.cbn,generic,cbn,"The Christian Broadcasting Network, Inc."
cbre,whois.nic.cbre,generic,cbre,"CBRE, Inc."
cbs,whois.nic.cbs,generic,cbs,CBS Domains Inc.
cc,ccwhois.verisign-grs.com,country-code,cc,eNIC Cocos (Keeling) Islands Pty. Ltd. d/b/a Island Internet Services
cd,,country-code,cd,Office Congolais des Postes et Télécommunications - OCPT
ceb,whois.nic.ceb,generic,ceb,The Corporate Executive Board Company
center,whois.donuts.co,generic,center,"Binky Moon, LLC"
ceo,whois.nic.ceo,generic,ceo,CEOTLD Pty Ltd
cern,whois.nic.cern,generic,cern,"European Organization for Nuclear Research (""CERN"")"
cf,whois.dot.cf,country-code,cf,Societe Centrafricaine de Telecommunications (SOCATEL)
cfa,whois.nic.cfa,generic,cfa,CFA Institute
cfd,whois.nic.cfd,generic,cfd,DOTCFD REGISTRY LTD
cg,,country-code,cg,ONPT Congo and Interpoint Switzerland
ch,whois.nic.ch,country-code,ch,SWITCH The Swiss Education & Research Network
chanel,whois.nic.chanel,generic,chanel,Chanel International B.V.
channel,whois.nic.channel,generic,channel,Charleston Road Registry Inc.
chase,whois.nic.chase,generic,chase,"JPMorgan Chase Bank, National Association"
chat,whois.donuts.co,generic,chat,"Binky Moon, LLC"
cheap,whois.donuts.co,generic,cheap,"Binky Moon, LLC"
chintai,whois.nic.chintai,generic,chintai,CHINTAI Corporation
chloe,,generic,chloe,Not assigned
christmas,whois.nic.christmas,generic,christmas,"Uniregistry, Corp."
chrome,whois.nic.chrome,generic,chrome,Charleston Road Registry Inc.
chrysler,whois.nic.chrysler,generic,chrysler,FCA US LLC.
church,whois.donuts.co,generic,church,"Binky Moon, LLC"
ci,whois.nic.ci,country-code,ci,Autorité de Régulation des Télécommunications/TIC de Côte d’lvoire (ARTCI)
cipriani,whois.nic.cipriani,generic,cipriani,Hotel Cipriani Srl
circle,whois.nic.circle,generic,circle,"Amazon Registry Services, Inc."
cisco,whois.nic.cisco,generic,cisco,"Cisco Technology, Inc."
citadel,whois.nic.citadel,generic,citadel,Citadel Domain LLC
citi,whois.nic.citi,generic,citi,Citigroup Inc.
citic,whois.nic.citic,generic,citic,CITIC Group Corporation
city,whois.donuts.co,generic,city,"Binky Moon, LLC"
cityeats,whois.nic.cityeats,generic,cityeats,"Lifestyle Domain Holdings, Inc."
ck,,country-code,ck,Telecom Cook Islands Ltd.
cl,whois.nic.cl,country-code,cl,NIC Chile (University of Chile)
claims,whois.donuts.co,generic,claims,"Binky Moon, LLC"
cleaning,whois.donuts.co,generic,cleaning,"Binky Moon, LLC"
click,whois.nic.click,generic,click,"Uniregistry, Corp."
clinic,whois.donuts.co,generic,clinic,"Binky Moon, LLC"
clinique,whois.nic.clinique,generic,clinique,The Estée Lauder Companies Inc.
clothing,whois.donuts.co,generic,clothing,"Binky Moon, LLC"
cloud,whois.nic.cloud,generic,cloud,ARUBA PEC S.p.A.
club,whois.nic.club,generic,club,".CLUB DOMAINS, LLC"
clubmed,whois.nic.clubmed,generic,clubmed,Club Méditerranée S.A.
cm,,country-code,cm,Cameroon Telecommunications (CAMTEL)
cn,whois.cnnic.cn,country-code,cn,China Internet Network Information Center (CNNIC)
co,whois.nic.co,country-code,co,.CO Internet S.A.S.
coach,whois.donuts.co,generic,coach,"Binky Moon, LLC"
codes,whois.donuts.co,generic,codes,"Binky Moon, LLC"
coffee,whois.donuts.co,generic,coffee,"Binky Moon, LLC"
college,whois.nic.college,generic,college,XYZ.COM LLC
cologne,whois.nic.cologne,generic,cologne,NetCologne Gesellschaft für Telekommunikation mbH
com,whois.verisign-grs.com,generic,com,VeriSign Global Registry Services
comcast,whois.nic.comcast,generic,comcast,"Comcast IP Holdings I, LLC"
commbank,whois.nic.commbank,generic,commbank,COMMONWEALTH BANK OF AUSTRALIA
community,whois.donuts.co,generic,community,"Binky Moon, LLC"
company,whois.donuts.co,generic,company,"Binky Moon, LLC"
compare,whois.nic.compare,generic,compare,iSelect Ltd
computer,whois.donuts.co,generic,computer,"Binky Moon, LLC"
comsec,whois.nic.comsec,generic,comsec,"VeriSign, Inc."
condos,whois.donuts.co,generic,condos,"Binky Moon, LLC"
construction,whois.donuts.co,generic,construction,"Binky Moon, LLC"
consulting,whois.donuts.co,generic,consulting,"United TLD Holdco, LTD."
contact,whois.nic.contact,generic,contact,"Top Level Spectrum, Inc."
contractors,whois.donuts.co,generic,contractors,"Binky Moon, LLC"
cooking,whois.nic.cooking,generic,cooking,Top Level Domain Holdings Limited
cookingchannel,whois.nic.cookingchannel,generic,cookingchannel,"Lifestyle Domain Holdings, Inc."
cool,whois.donuts.co,generic,cool,"Binky Moon, LLC"
coop,whois.nic.coop,sponsored,coop,DotCooperation LLC
corsica,whois.nic.corsica,generic,corsica,Collectivité Territoriale de Corse
country,whois.nic.country,generic,country,Top Level Domain Holdings Limited
coupon,whois.nic.coupon,generic,coupon,"Amazon Registry Services, Inc."
coupons,whois.donuts.co,generic,coupons,"Binky Moon, LLC"
courses,whois.nic.courses,generic,courses,OPEN UNIVERSITIES AUSTRALIA PTY LTD
cr,whois.nic.cr,country-code,cr,National Academy of Sciences Academia Nacional de Ciencias
credit,whois.donuts.co,generic,credit,"Binky Moon, LLC"
creditcard,whois.donuts.co,generic,creditcard,"Binky Moon, LLC"
creditunion,whois.nic.creditunion,generic,creditunion,"CUNA Performance Resources, LLC"
cricket,whois.nic.cricket,generic,cricket,dot Cricket Limited
crown,whois.nic.crown,generic,crown,Crown Equipment Corporation
crs,whois.nic.crs,generic,crs,Federated Co-operatives Limited
cruise,whois.nic.cruise,generic,cruise,Viking River Cruises (Bermuda) Ltd.
cruises,whois.donuts.co,generic,cruises,"Binky Moon, LLC"
csc,whois.nic.csc,generic,csc,"Alliance-One Services, Inc."
cu,,country-code,cu,CENIAInternet Industria y San Jose Capitolio Nacional
cuisinella,whois.nic.cuisinella,generic,cuisinella,SALM S.A.S.
cv,,country-code,cv,Agência Nacional das Comunicações (ANAC)
cw,,country-code,cw,University of Curacao
